collocate,window_freq,pmi,t_score,global_freq
better,2,3.298067656054775,1.201204145906617,90
oft,2,3.298067656054775,1.201204145906617,90
use,2,3.2823003401964583,1.1988373746125451,91
us,2,3.191152452138263,1.1846367468481132,97
mak,2,3.191152452138263,1.1846367468481132,97
doesn't,2,3.1765056761738615,1.1822699755540413,98
l,2,3.1620061064787466,1.1799032042599693,99
ever,2,3.1620061064787466,1.1799032042599693,99
befor,2,3.1334369542819753,1.1751696616718252,101
real,2,3.119361769070253,1.1728028903777534,102
again,2,3.0779418416902717,1.1657025764955375,105
take,2,3.064395309852324,1.1633358052014655,106
sur,2,3.064395309852324,1.1633358052014655,106
without,2,2.972972282088729,1.1467684061429617,113
new,2,2.9603722453090957,1.1444016348488897,114
interesting,2,2.9603722453090957,1.1444016348488897,114
been,2,2.851665985866596,1.1231006932022418,123
thos,2,2.7505798607522816,1.1017997515555942,132
